"filename", "language", "XML", "JavaScript", "JavaScript JSX", "CSS", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 38, 0, 33, 71
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/package-lock.json", "JSON", 0, 0, 0, 0, 19893, 0, 0, 0, 1, 19894
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/package.json", "JSON", 0, 0, 0, 0, 67, 0, 0, 0, 1, 68
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/public/index.html", "HTML", 0, 0, 0, 0, 0, 23, 0, 24, 1, 48
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/App.js", "JavaScript", 0, 150, 0, 0, 0, 0, 0, 0, 3, 153
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/assets/complete.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/assets/resource.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/assets/undraw_progressive_app_m-9-ms.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/assets/undraw_wall_post_re_y78d.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/components/BCards.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 0, 0, 0, 3, 53
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/components/Cards.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/components/Modal.jsx", "JavaScript JSX", 0, 0, 463, 0, 0, 0, 0, 5, 25, 493
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/components/Navbar.jsx", "JavaScript JSX", 0, 0, 74, 0, 0, 0, 0, 3, 6, 83
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/components/customDateCell/CustomDateCell.css", "CSS", 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/components/customDateCell/MyCalendar.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 0, 2, 5, 40
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/index.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/index.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 2, 40
"/Users/debarundeb/dev/Web Devlopement/Projects/Resource-Allocation-FINAL/client/src/screens/ApprovPage.jsx", "JavaScript JSX", 0, 0, 119, 0, 0, 0, 0, 0, 5, 124
